NoStrat,KEY,dataset,fire_year,sample_year,sample_gap_yr,FIRE,plotname,PLOT,ValueFrom,RDNBR_orig,RdNBR,RdNBR_BL,dNBR_1018_use,dNBR_BL_1018_use,dNBR_Offset,dNBR_Offset_BL,RBR,RBR_BL,preNBR,comments,lon,elev,slope,aspect,lat,lat_rad,slope_rad,aspect_rad,FoldedAspect,ln_HeatLoad,HeatLoad,solrad,forest3,forest2,Easting,Northing,MaxTreeHeight,QMD_LAF,QMD_all,RDNBR,FIRESEV,FIRESEVCODE,FIRESEVNUM,CHARHT,CHARHT_percMax,BOLESCORCH,LITTDUFFMM,SOILCHARMM,CHARCOV,LiveVegCov,Firemort.BA.p,Firemort.trees.p,over1,over2,FieldClass,FieldClass2,under1,under2,picolive,ablalive,pienlive,pifllive,psmelive,picobk,ablabk,pienbk,piflbk,psmebk,BABK_p,basal.area,ba_ha,stems_ha,stems,RedGrayStage.BA,RedGrayStage.BA.p,RedGrayStage.trees,RedGrayStage.trees.p,GreenAttack.BA,GreenAttack.BA.p,GreenAttack.trees,GreenAttack.trees.p,RedGrayGreenStage.BA,RedGrayGreenStage.BA.p,RedGrayGreenStage.trees,RedGrayGreenStage.trees.p,OutbreakStage,snag.BA,snag.BA.p,snag.trees,snag.trees.p,FireKill.BA,FireKill.BA.p,FireKill.trees,FireKill.trees.p,live.BA,live.BA.p,live.trees,live.trees.p,LAF.trees,LAF.trees.p,LAF.BA,LAF.BA.p,abla.trees,abla.trees.p,abla.BA,abla.BA.p,pifl.trees,pifl.trees.p,pifl.BA,pifl.BA.p,unk.trees,unk.trees.p,unk.BA,unk.BA.p,pico.trees,pico.trees.p,pico.BA,pico.BA.p,pien.trees,pien.trees.p,pien.BA,pien.BA.p,psme.trees,psme.trees.p,psme.BA,psme.BA.p,abgr.trees,abgr.trees.p,abgr.BA,abgr.BA.p,pial.trees,pial.trees.p,pial.BA,pial.BA.p,potr.trees,potr.trees.p,potr.BA,potr.BA.p,pipo.trees,pipo.trees.p,pipo.BA,pipo.BA.p,pisp.trees,pisp.trees.p,pisp.BA,pisp.BA.p,sasp.trees,sasp.trees.p,sasp.BA,sasp.BA.p,jusp.trees,jusp.trees.p,jusp.BA,jusp.BA.p,pipu.trees,pipu.trees.p,pipu.BA,pipu.BA.p,abco.trees,abco.trees.p,abco.BA,abco.BA.p,stems10,stems_ha10,BKBApico,BKBAabla,BKBApien,BKBApsme,BKBApialfl,BKBA_DC1,BKBA_DC2,BKBA_DC2_pico,DC2_pico,BA_DC1,BA_DC2,need_remain_LAF_avg,total_BA_DC1p,total_BA_DC2p,picoBABK.p,ablaBABK.p,pienBABK.p,psmeBABK.p,pialfl.BA,pialflBABK.p
All,187,BJH,2008,2010,2,newfork,1,187,Extraction,827,827,821,463,504,452,493,332,311,0.29897,,-109.93,2568,2,221,43.086,0.751992562,0.034906585,3.857177647,3.071779484,-0.281418876,0.754712,637247,3,3,587122,4770917,25.8,12.63,13.5,827,sevsurf,c,2,11.1,0.43,0.88,18.5,16.6,0.37,0.17,1,1,PICO,PIAL,3,3,,,,,,,,,,,,,,2.1,29.76,2080,147,0.32,0.15,4,0.03,0,0,0,0,0.32,0.15,4,0.03,greenattack,0.01,0,1,0,1.8,0.8,142,0.97,0,0,0,0,142,0.97,1.78,0.85,0,0,0,0,0,0,0,0,0,0,0,0,56,0.38,1.35,0.64,0,0,0,0,0,0,0,0,0,0,0,0,86,0.59,0.66,0.31,1,0.01,0,0,0,0,0,0,0,0,0,0,4,0.03,0.1,0.05,0,0,0,0,,,,0,,,,0,48,679,0.32,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.24,NA,NA,NA,0.66,0
All,188,BJH,2008,2010,2,newfork,2,188,Extraction,1027,1076,963,701,630,690,619,475,457,0.41177,,-109.93,2572,3,237,43.0869,0.752008269,0.052359878,4.136430327,2.932153143,-0.263526699,0.768337,635337,3,3,587131,4771024,22.3,17.82,18.35,1027,sevsurf,c,2,8.2,0.37,0.98,10.1,11.1,0.17,0.1,1,1,PICO,,3,3,,,,,,,,,,,,,,2.49,35.16,1330,94,0.45,0.18,11,0.12,0,0,0,0,0.45,0.18,11,0.12,greenattack,0.02,0.01,2,0,2,0.8,81,0.86,0,0,0,0,81,0.86,2.02,0.81,0,0,0,0,0,0,0,0,0,0,0,0,92,0.98,2.48,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,75,1061,0.45,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.18,NA,NA,NA,0,0
All,189,BJH,2008,2010,2,newfork,3,189,Extraction,1212,1212,1206,878,873,867,862,560,544,0.51111,,-109.932,2513,27,332,43.093,0.752114735,0.471238898,5.794493117,1.274090354,-0.39141921,0.676097,432816,3,3,586914,4771694,21.4,12.48,14.68,1212,crown,d,3,13.5,0.63,1,2.7,12.1,0.64,0.05,1,1,PICO,PSME,3,3,,,,,,,,,,,,,,2.01,28.48,1684,119,0.2,0.1,5,0.04,0.72,0.36,23,0.19,0.92,0.1,28,0.04,greenattack,0.03,0.01,4,0,1.1,0.5,87,0.73,0,0,0,0,87,0.73,1.06,0.53,3,0.03,0.06,0.03,0,0,0,0,6,0.05,0.06,0.03,101,0.85,1.68,0.83,0,0,0,0,8,0.07,0.2,0.1,0,0,0,0,0,0,0,0,1,0.01,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,76,1075,0.92,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.55,0,NA,0,0,NA
All,190,BJH,2008,2010,2,newfork,4,190,Extraction,1092,1092,1086,774,744,763,733,499,448,0.48889,,-109.931,2567,28,336,43.0922,0.752100772,0.488692191,5.864306287,1.204277184,-0.437361886,0.645738,415075,3,3,586993,4771608,20.5,15.19,16.22,1092,crown,d,3,16.2,0.79,1,2.4,8.6,0.65,0.05,1,1,PICO,,3,3,,,,,,,,,,,,,,2.31,32.74,1584,112,0.16,0.07,4,0.04,0.51,0.22,17,0.15,0.67,0.07,21,0.04,greenattack,0.01,0,1,0,1.6,0.7,90,0.8,0,0,0,0,90,0.8,1.63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,112,1,2.31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,90,1273,0.67,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.29,NA,NA,NA,0,NA
All,191,BJH,2008,2010,2,newfork,5,191,Extraction,1053,1053,1053,667,676,656,665,457,423,0.38824,,-109.931,2607,12,131,43.0908,0.752076337,0.20943951,2.28638132,1.500983157,-0.263136028,0.768637,663942,3,3,586983,4771457,23.5,13.97,17.18,1053,sevsurf,c,2,10.5,0.45,1,10.1,14.2,0.31,0.09,1,1,PICO,,3,3,,,,,,,,,,,,,,1.88,26.54,1146,81,0.02,0.01,1,0.01,0.95,0.51,20,0.25,0.97,0.01,21,0.01,greenattack,0.03,0.02,3,0,0.9,0.5,57,0.7,0,0,0,0,57,0.7,0.87,0.47,0,0,0,0,0,0,0,0,0,0,0,0,81,1,1.88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,50,707,0.97,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.52,NA,NA,NA,0,NA
All,192,BJH,2008,2010,2,newfork,6,192,Extraction,1044,1044,1064,621,648,610,637,439,496,0.34118,,-109.93,2612,5,172,43.0915,0.752088555,0.087266463,3.001966313,2.21656815,-0.235718699,0.790003,658797,3,3,587065,4771527,24.6,13.6,16.53,1044,sevsurf,c,2,11.6,0.47,1,3.7,19.2,0.42,0.27,1,1,PICO,,3,3,,,,,,,,,,,,,,1.5,21.25,990,70,0.59,0.39,7,0.1,0,0,0,0,0.59,0.39,7,0.1,greenattack,0,0,0,0,0.9,0.6,63,0.9,0,0,0,0,63,0.9,0.92,0.61,2,0.03,0,0,0,0,0,0,1,0.01,0.01,0,67,0.96,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,28,396,0.59,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.39,0,NA,NA,0,NA
All,193,BJH,2008,2010,2,newfork,7,193,Extraction,990,990,1043,535,618,524,607,393,475,0.28000,,-109.933,2626,5,0,43.0906,0.752072847,0.087266463,0,0.785398163,-0.357445982,0.69946,595797,3,3,586878,4771434,23.3,16.8,17.04,990,sevsurf,c,2,12.1,0.52,1,9.6,10.3,0.29,0.24,1,1,PICO,,3,3,,,,,,,,,,,,,,1.3,18.38,806,57,0.1,0.08,2,0.04,0,0,0,0,0.1,0.08,2,0.04,greenattack,0.02,0.02,2,0,1.2,0.9,53,0.93,0,0,0,0,53,0.93,1.17,0.9,1,0.02,0.01,0.01,0,0,0,0,0,0,0,0,55,0.96,1.29,0.99,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,31,439,0.1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.08,0,NA,NA,0,0
All,194,BJH,2008,2010,2,newfork,8,194,Extraction,980,896,916,571,593,560,582,388,430,0.39024,,-109.929,2586,13,256,43.0882,0.752030959,0.226892803,4.468042885,2.600540585,-0.113626815,0.892591,632003,3,3,587201,4771167,22.6,12.72,13.11,980,sevsurf,c,2,12,0.53,0.99,5,10,0.31,0.29,1,1,PICO,,3,3,,,,,,,,,,,,,,2.88,40.68,3013,213,0.22,0.08,6,0.03,0.06,0.02,2,0.01,0.28,0.08,8,0.03,greenattack,0.03,0.01,3,0,2.6,0.9,202,0.95,0,0,0,0,202,0.95,2.57,0.89,0,0,0,0,0,0,0,0,1,0,0.01,0,209,0.98,2.85,0.99,0,0,0,0,0,0,0,0,0,0,0,0,3,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,104,1471,0.28,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.1,NA,NA,NA,0.01,0
All,195,BJH,2008,2010,2,newfork,9,195,Extraction,785,785,827,538,572,527,561,349,399,0.45000,,-109.93,2572,2,224,43.0881,0.752029213,0.034906585,3.909537524,3.124139361,-0.282483651,0.753909,632464,3,3,587076,4771148,22,13.41,13.23,785,sevsurf,c,2,3.7,0.17,0.94,22.3,21.8,0.12,0.12,1,1,PICO,,3,3,,,,,,,,,,,,,,3.31,46.82,3409,241,0.11,0.03,5,0.02,0,0,0,0,0.11,0.03,5,0.02,greenattack,0.08,0.02,15,0.1,3.1,0.9,221,0.92,0,0,0,0,221,0.92,3.12,0.94,0,0,0,0,0,0,0,0,0,0,0,0,241,1,3.31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,138,1952,0.11,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.03,NA,NA,NA,0,NA
All,196,BJH,2008,2010,2,newfork,10,196,Extraction,603,603,584,416,396,405,385,264,266,0.45000,,-109.931,2572,2,142,43.0874,0.752016996,0.034906585,2.478367538,1.692969374,-0.29321137,0.745864,635445,3,3,587002,4771076,21.6,14.15,16.84,603,sevsurf,c,2,2.4,0.11,0.83,18.3,15.2,0.07,0.14,1,1,PICO,,3,3,,,,,,,,,,,,,,2.54,35.88,1613,114,0.12,0.05,4,0.04,1.26,0.5,36,0.32,1.38,0.05,40,0.04,greenattack,0.04,0.02,3,0,1.1,0.4,71,0.62,0,0,0,0,71,0.62,1.12,0.44,0,0,0,0,0,0,0,0,0,0,0,0,113,0.99,2.54,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,93,1316,1.38,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.54,NA,NA,NA,0,0
