fire_year,FIRE,plotname,PLOT,RdNBR,RdNBR_BL,dNBR,dNBR_BL,RBR,RBR_BL,pre_NBR,lat,slope,HeatLoad,MaxTreeHeight,QMD_LAF,QMD_all,FIRESEVNUM,CHARHT_percMax,BOLESCORCH,CHARCOV,Firemort.BA.p,Firemort.trees.p,ba_ha,stems_ha,RedGrayGreenStage.BA.p
2011,fort,fort1,1,NA,NA,NA,NA,NA,NA,0.625,46.261,25,0.827463,22.27,11.71,13.53,2,0.44,1,0.59,1,1,33.34,2320,0.29
2011,fort,fort2,2,NA,NA,NA,NA,NA,NA,0.6,46.2611,14,0.844764,24.79,20.27,22.85,3,0.73,1,0.92,1,1,46.39,1132,0.33
2011,fort,fort3,3,NA,NA,NA,NA,NA,NA,0.6,46.2608,25,0.927551,23.39,17.34,18.74,3,0.76,1,0.95,1,1,44.84,1627,0.23
2011,fort,fort4,4,678,667,495,470,327,310,0.58824,46.2635,14,0.858493,24.88,24.64,24.74,2,0.54,0.89,0.54,1,1,44.85,934,0.12
2011,fort,fort5,5,688,686,517,522,334,409,0.61905,46.2609,15,0.851383,26.51,20.05,20.37,3,0.79,1,0.74,1,1,53.44,1641,0.06
2011,fort,fort6,6,126,83,73,41,61,82,0.6044,46.2628,14,0.713362,25.07,23.68,22.93,1,0.13,0.51,0.23,0.61,0.65,44.38,1075,0.01
2011,fort,fort7,7,NA,NA,NA,NA,NA,NA,0.63855,46.2656,8,0.786676,29.03,14.31,14.14,1,0.02,0.53,0.23,0.43,0.5,53.31,3395,0
2011,fort,fort8,8,367,310,266,NA,178,149,0.62667,46.2666,9,0.756975,29.16,21.34,21.76,1,0.07,0.71,0.13,0.76,0.72,50.46,1358,0.02
2011,fort,fort9,9,646,643,484,473,314,319,0.61905,46.2545,12,0.788351,21.78,21.5,21.98,2,0.42,0.97,0.7,1,1,41.32,1089,0.05
2011,fort,fort10,10,940,822,627,547,439,409,0.48148,46.2001,18,0.725946,26.67,21.73,21.69,3,0.75,1,0.75,1,1,52.25,1415,0.04
2011,fort,fort11,11,1006,981,747,704,485,478,0.58824,46.2154,17,0.667293,21.78,18.11,19.45,3,0.83,1,0.63,1,1,38.64,1302,0.22
2011,fort,fort12,12,963,1083,624,747,445,455,0.45455,46.2512,9,0.801035,24.22,15.36,18,2,0.5,0.89,0.67,1,1,42.45,1669,0.36
2011,fort,fort13,13,152,70,79,22,70,24,0.46667,46.2499,20,0.632908,20.87,13.44,15.48,1,0.04,0.43,0.18,0.47,0.41,55.9,2971,0.25
2011,fort,fort14,14,865,979,459,580,368,NA,0.31343,46.2459,29,0.801842,24.98,17.74,21.22,2,0.31,0.93,0.84,1,1,61.54,1740,0.43
2011,fort,fort15,15,896,850,630,581,426,410,0.53488,46.2427,31,0.346213,24.51,13.7,14.27,2,0.45,0.99,0.56,1,1,33.68,2108,0.05
2011,fort,fort16,16,NA,NA,NA,NA,NA,NA,0.50562,46.2386,13,0.827208,21.01,7.73,8.65,1,0.09,0.41,0.2,0.33,0.35,22.09,3763,0.08
2011,east,East1,17,513,615,311,306,236,273,0.44186,45.8681,19,0.913092,21.01,18.14,20.05,2,0.36,0.96,0.44,1,1,40.64,1287,0.52
2011,east,East2,18,1272,1259,690,546,545,546,0.32,45.8691,21,0.577457,19.41,12.64,14.01,3,0.77,1,0.88,1,1,23.31,1514,0.25
2011,east,East3,19,611,NA,323,NA,264,NA,0.33333,45.8656,11,0.81297,17.9,14.23,16.07,1,0.07,0.61,0.4,0.32,0.53,37.27,1839,0.5
2011,east,East4,20,764,769,522,497,362,362,0.52273,45.8615,13,0.852427,22.96,11.52,11.96,1,0.1,0.51,0.24,0.44,0.57,23.34,2080,0.03
2011,east,East5,21,868,790,568,483,405,368,0.47475,45.8583,30,0.383831,22.03,11.67,12.1,2,0.21,0.92,0.37,1,1,25.55,2221,0.09
2011,east,East6,22,388,457,279,264,189,223,0.63158,45.85,17,0.869662,23.18,13.14,13.62,1,0.05,0.57,0.18,0.33,0.51,38.32,2631,0
2011,east,East7,23,947,838,664,503,451,397,0.53623,45.8451,17,0.787668,33.19,22.51,21.58,2,0.16,0.99,0.49,1,1,61.05,1669,0.09
2011,east,East8,24,539,659,289,345,236,279,0.35,45.8412,11,0.814892,21.01,16.91,18.35,1,0.05,0.72,0.36,0.29,0.52,43.75,1655,0.35
2011,east,East9,25,869,942,609,512,414,450,0.54054,45.8304,22,0.918897,26.02,18.34,18.14,2,0.38,1,0.64,1,1,32.9,1273,0.11
