NoStrat,KEY,dataset,fire_year,sample_year,sample_gap_yr,FIRE,plotname,PLOT,ValueFrom,RdNBR,RdNBR_BL,dNBR,dNBR_BL,dNBR_Offset,dNBR_Offset_BL,RBR,RBR_BL,preNBR,lon,lat,elev,slope,aspect,HeatLoad,MaxTreeHeight,QMD_LAF,QMD_all,FIRESEV,FIRESEVCODE,FIRESEVNUM,CHARHT,CHARHT_percMax,BOLESCORCH,LITTDUFFMM,SOILCHARMM,CHARCOV,LiveVegCov,Firemort.BA.p,Firemort.trees.p,over1,over2,FieldClass,FieldClass2,under1,under2,ba_ha,stems_ha,RedGrayGreenStage.BA.p,OutbreakStage
All,187,BJH,2008,2010,2,newfork,1,187,Extraction,827,821,463,504,452,493,332,311,0.29897,-109.93,43.086,2568,2,221,0.754712,25.8,12.63,13.5,sevsurf,c,2,11.1,0.43,0.88,18.5,16.6,0.37,0.17,1,1,PICO,PIAL,3,3,,,29.76,2080,0.15,greenattack
All,188,BJH,2008,2010,2,newfork,2,188,Extraction,1076,963,701,630,690,619,475,457,0.41177,-109.93,43.0869,2572,3,237,0.768337,22.3,17.82,18.35,sevsurf,c,2,8.2,0.37,0.98,10.1,11.1,0.17,0.1,1,1,PICO,,3,3,,,35.16,1330,0.18,greenattack
All,189,BJH,2008,2010,2,newfork,3,189,Extraction,1212,1206,878,873,867,862,560,544,0.51111,-109.932,43.093,2513,27,332,0.676097,21.4,12.48,14.68,crown,d,3,13.5,0.63,1,2.7,12.1,0.64,0.05,1,1,PICO,PSME,3,3,,,28.48,1684,0.1,greenattack
All,190,BJH,2008,2010,2,newfork,4,190,Extraction,1092,1086,774,744,763,733,499,448,0.48889,-109.931,43.0922,2567,28,336,0.645738,20.5,15.19,16.22,crown,d,3,16.2,0.79,1,2.4,8.6,0.65,0.05,1,1,PICO,,3,3,,,32.74,1584,0.07,greenattack
All,191,BJH,2008,2010,2,newfork,5,191,Extraction,1053,1053,667,676,656,665,457,423,0.38824,-109.931,43.0908,2607,12,131,0.768637,23.5,13.97,17.18,sevsurf,c,2,10.5,0.45,1,10.1,14.2,0.31,0.09,1,1,PICO,,3,3,,,26.54,1146,0.01,greenattack
All,192,BJH,2008,2010,2,newfork,6,192,Extraction,1044,1064,621,648,610,637,439,496,0.34118,-109.93,43.0915,2612,5,172,0.790003,24.6,13.6,16.53,sevsurf,c,2,11.6,0.47,1,3.7,19.2,0.42,0.27,1,1,PICO,,3,3,,,21.25,990,0.39,greenattack
All,193,BJH,2008,2010,2,newfork,7,193,Extraction,990,1043,535,618,524,607,393,475,0.28,-109.933,43.0906,2626,5,0,0.69946,23.3,16.8,17.04,sevsurf,c,2,12.1,0.52,1,9.6,10.3,0.29,0.24,1,1,PICO,,3,3,,,18.38,806,0.08,greenattack
All,194,BJH,2008,2010,2,newfork,8,194,Extraction,896,916,571,593,560,582,388,430,0.39024,-109.929,43.0882,2586,13,256,0.892591,22.6,12.72,13.11,sevsurf,c,2,12,0.53,0.99,5,10,0.31,0.29,1,1,PICO,,3,3,,,40.68,3013,0.08,greenattack
All,195,BJH,2008,2010,2,newfork,9,195,Extraction,785,827,538,572,527,561,349,399,0.45,-109.93,43.0881,2572,2,224,0.753909,22,13.41,13.23,sevsurf,c,2,3.7,0.17,0.94,22.3,21.8,0.12,0.12,1,1,PICO,,3,3,,,46.82,3409,0.03,greenattack
All,196,BJH,2008,2010,2,newfork,10,196,Extraction,603,584,416,396,405,385,264,266,0.45,-109.931,43.0874,2572,2,142,0.745864,21.6,14.15,16.84,sevsurf,c,2,2.4,0.11,0.83,18.3,15.2,0.07,0.14,1,1,PICO,,3,3,,,35.88,1613,0.05,greenattack
All,197,BJH,2008,2010,2,newfork,11,197,Extraction,381,339,259,232,248,221,159,118,0.42222,-109.915,43.0835,2590,6,186,0.807795,22.5,16.68,16.51,lightsurf,b,1,0.7,0.03,0.78,25.2,7.9,0.06,0.29,0.89,0.92,PICO,,3,3,,,38.45,1797,0.05,greenattack
All,198,BJH,2008,2010,2,newfork,12,198,Extraction,862,879,586,593,575,582,384,441,0.44444,-109.913,43.0837,2589,7,157,0.797212,23.9,10.56,11.38,sevsurf,c,2,11.8,0.49,1,9.2,11,0.35,0.05,1,1,PICO,PIAL,3,3,,,30.04,2957,0.1,greenattack
All,199,BJH,2008,2010,2,newfork,13,199,Extraction,1114,1115,789,793,778,782,509,471,0.48718,-109.91,43.0837,2599,12,267,0.876974,22,15.08,17.06,crown,d,3,19.8,0.9,1,1.3,7.8,0.58,0.09,1,1,PICO,,3,3,,,25.85,1132,0.26,greenattack
All,200,BJH,2008,2010,2,newfork,14,200,Extraction,1141,1166,824,814,813,803,526,555,0.50725,-109.912,43.0837,2584,9,149,0.800206,19.6,11.46,11.69,crown,d,3,17.5,0.89,1,4.9,16.4,0.65,0,1,1,PICO,,3,3,,,32.64,3042,0.02,greenattack
All,201,BJH,2008,2010,2,newfork,15,201,Extraction,362,312,256,221,245,210,154,153,0.45679,-109.914,43.0848,2608,12,162,0.847984,21.8,14.86,14.76,sevsurf,c,2,1.1,0.05,0.84,20.9,11.3,0.1,0.09,0.98,0.98,PICO,,3,3,,,35.56,2080,0.01,greenattack
All,202,BJH,2008,2010,2,newfork,16,202,Extraction,279,231,194,160,183,149,113,110,0.42857,-109.912,43.085,2603,7,146,0.78225,21.8,18.62,18.69,lightsurf,b,1,1.1,0.05,0.64,25.3,6.8,0.13,0.16,0.77,0.72,PICO,,3,3,,,30.66,1118,0.05,greenattack
All,203,BJH,2008,2010,2,newfork,17,203,Extraction,266,300,178,208,167,197,105,151,0.39241,-109.91,43.0851,2594,6,262,0.808222,22.7,21.21,21.1,lightsurf,b,1,1.8,0.08,0.55,18.5,2.3,0.06,0.38,0.85,0.82,PICO,,3,3,,,28.67,821,0.02,greenattack
All,204,BJH,2008,2010,2,newfork,18,204,Extraction,492,517,281,297,270,286,191,235,0.30121,-109.909,43.086,2603,7,269,0.818052,20.8,15.96,15.69,sevsurf,c,2,2.3,0.11,0.8,15.5,8.2,0.05,0.3,1,1,PICO,,3,3,,,27.89,1443,0,greenattack
All,205,BJH,2008,2010,2,newfork,19,205,Extraction,1088,1108,785,772,774,761,500,461,0.50649,-109.908,43.0854,2626,14,287,0.866586,21.1,14.85,15.24,crown,d,3,18.5,0.88,1,5.7,13.2,0.72,0.04,1,1,PICO,,3,3,,,30.42,1669,0.16,greenattack
All,206,BJH,2008,2010,2,newfork,20,206,Extraction,1054,1040,736,721,725,710,478,351,0.47368,-109.908,43.0864,2629,13,271,0.884122,23.9,13.32,16.3,crown,d,3,20.3,0.85,1,3.3,14,0.78,0.08,1,1,PICO,,3,3,,,30.69,1471,0.43,greenattack
All,207,BJH,2008,2010,2,newfork,22,207,Extraction,262,242,192,173,181,162,108,98,0.475,-109.913,43.0857,2624,13,151,0.829695,21,16.76,16.75,lightsurf,b,1,0.8,0.04,0.52,23.2,2.9,0.05,0.26,0.76,0.79,PICO,,3,3,,,35.83,1627,0.02,greenattack
All,208,BJH,2008,2010,2,newfork,24,208,Extraction,381,357,284,257,273,246,166,144,0.51282,-109.911,43.0874,2647,9,145,0.792534,22.3,16.93,16.9,lightsurf,b,1,1,0.04,0.52,16.3,7.2,0.07,0.16,0.86,0.85,PICO,,3,3,,,36.15,1613,0.01,greenattack
All,209,BJH,2008,2010,2,newfork,25,209,Extraction,464,432,270,250,259,239,181,130,0.31183,-109.914,43.0864,2640,3,197,0.77081,25.8,15.97,16.12,lightsurf,b,1,2.6,0.1,0.74,21,5.4,0.09,0.42,0.99,0.98,PICO,,3,3,,,35.8,1754,0.03,greenattack
All,210,BJH,2008,2010,2,newfork,26,210,Extraction,1151,1108,754,709,743,698,510,509,0.41667,-109.914,43.0883,2640,4,307,0.759508,24,13.02,13.85,crown,d,3,19.6,0.82,1,1.3,8.9,0.8,0.07,1,1,PICO,,3,3,,,25.15,1669,0.16,greenattack
All,211,BJH,2008,2010,2,newfork,27,211,Extraction,854,740,527,461,516,450,363,208,0.36539,-109.912,43.0885,2646,4,303,0.762855,25.7,8.99,13.69,sevsurf,c,2,9.1,0.35,0.96,17.7,10.8,0.23,0.37,1,1,PICO,,3,3,,,24.56,1669,0.18,greenattack
All,212,BJH,2008,2010,2,newfork,28,212,Extraction,693,728,491,513,480,502,310,405,0.47945,-109.909,43.0884,2621,8,139,0.776004,22.2,17.68,17.7,sevsurf,c,2,9.2,0.41,0.95,10.4,13.2,0.22,0.1,1,1,PICO,,3,3,,,36.88,1500,0.04,greenattack
All,213,BJH,2008,2010,2,newfork,29,213,Extraction,472,518,262,293,251,282,179,175,0.28261,-109.914,43.0898,2627,6,305,0.774418,22.7,14.94,15.12,sevsurf,c,2,2.2,0.1,0.88,13.6,13.8,0.1,0.06,1,1,PICO,,3,3,,,34.03,1896,0.07,greenattack
All,214,BJH,2008,2010,2,newfork,30,214,Extraction,568,651,400,447,389,436,251,151,0.46835,-109.914,43.091,2623,3,283,0.765441,21.1,15.4,15.22,sevsurf,c,2,3.4,0.16,0.87,29.7,1.6,0.06,0.17,1,1,PICO,,3,3,,,40.16,2207,0,greenattack
All,215,BJH,2008,2010,2,newfork,31,215,Extraction,1254,1246,921,906,910,895,583,235,0.52632,-109.912,43.0908,2637,5,286,0.784949,22,14.94,15.13,crown,d,3,17.7,0.8,1,6.5,13.4,0.6,0.04,1,1,PICO,,3,3,,,22.61,1259,0,greenattack
